date,fetched_at,source_name,source_type,page_type,category,priority,asin,image_url,display_rank,display_order,rank,rank_basis,position,title,price,price_display,rating,review_count,review_rating,bought_past_month,badge,sponsored,product_url,page_url
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0H1LGDY94,https://m.media-amazon.com/images/I/71+UiRVT9jL._AC_UY218_.jpg,1,1,1,display_order,1,"WANDERPRINT Personalized Patriotic Welcome Mat – Custom Family Name 250th Anniversary USA Doormat, Eagle Non-Slip Indoor O...",,,,,,,,no,https://www.amazon.com/WANDERPRINT-Personalized-Patriotic-Welcome-Mat/dp/B0H1LGDY94/ref=sr_1_1?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-1,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0H2LLKGCK,https://m.media-amazon.com/images/I/71WrC4uHOFL._AC_UY218_.jpg,2,2,2,display_order,2,"Personalized Patriotic Welcome Mats – Custom Name 250th Anniversary USA Doormat for Family, Eagle Non Slip Indoor Outdoor ...",,,,,,,,no,https://www.amazon.com/Personalized-Patriotic-Welcome-Mats-Anniversary/dp/B0H2LLKGCK/ref=sr_1_2?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-2,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0GZMKXVCB,,3,3,3,display_order,3,Style 10,,,,,,,,no,https://www.amazon.com/Personalized-Patriotic-Welcome-Mats-Anniversary/dp/B0GZMKXVCB/ref=cs_sr_dp_loc_2?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-2,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0H1LJFGQF,,4,4,4,display_order,4,Style 11,,,,,,,,no,https://www.amazon.com/Personalized-Patriotic-Welcome-Mats-Anniversary/dp/B0H1LJFGQF/ref=cs_sr_dp_loc_3?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-2,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0GYD8GC71,,5,5,5,display_order,5,Style 2,,,,,,,,no,https://www.amazon.com/Personalized-Patriotic-Welcome-Mats-Anniversary/dp/B0GYD8GC71/ref=cs_sr_dp_loc_4?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-2,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0GYDC6ZSB,,6,6,6,display_order,6,Style 3,,,,,,,,no,https://www.amazon.com/Personalized-Patriotic-Welcome-Mats-Anniversary/dp/B0GYDC6ZSB/ref=cs_sr_dp_loc_5?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-2,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0GZMLV4WX,,7,7,7,display_order,7,Style 7,,,,,,,,no,https://www.amazon.com/Personalized-Patriotic-Welcome-Mats-Anniversary/dp/B0GZMLV4WX/ref=cs_sr_dp_loc_6?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-2,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0CC5YSLDN,https://m.media-amazon.com/images/I/61obORhWH5L._AC_UY218_.jpg,8,8,8,display_order,8,"WANDERPRINT Custom Canvas Quote, Personalized Canvas Personalised Text, Personalized Poster Creative Typography Wall Art, ...",,,,,,,,no,https://www.amazon.com/WANDERPRINT-Personalized-Personalised-Inspirational-Motivational/dp/B0CC5YSLDN/ref=sr_1_3?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-3,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0FG7MHPK4,https://m.media-amazon.com/images/I/81rv1w8+dEL._AC_UY218_.jpg,9,9,9,display_order,9,"Custom Memorial Tree Sign with Stake, In Loving Memory of Loved Ones Grave Marker, Memorial Plaques for Outdoors, Remembra...",,,,,,,,no,https://www.amazon.com/Custom-Memorial-Plaques-Outdoors-Remembrance/dp/B0FG7MHPK4/ref=sr_1_4?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-4,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0H2VZ8TWC,https://m.media-amazon.com/images/I/81iR5+w7+8L._AC_UY218_.jpg,10,10,10,display_order,10,"Personalized Making Memories One Campsite at a Time Doormat, Custom Family Name Camping Door Mat Accessories for Inside Ou...",,,,,,,,no,https://www.amazon.com/Personalized-Memories-Campsite-Accessories-Decorations/dp/B0H2VZ8TWC/ref=sr_1_5?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-5,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0GZT7FVS3,https://m.media-amazon.com/images/I/71jFCDMw7CL._AC_UY218_.jpg,11,11,11,display_order,11,"Personalized Couple Flower Vase with Photo - Custom Wedding Vase with Name, Vintage Flower Vase for Home Decor, Anniversar...",,,,,,,,no,https://www.amazon.com/Personalized-Couple-Flower-Vase-Photo/dp/B0GZT7FVS3/ref=sr_1_6?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-6,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0FFN82P4N,https://m.media-amazon.com/images/I/61BytzwRI7L._AC_UY218_.jpg,12,12,12,display_order,12,"Personalized Acrylic Book Shaped for Flowers – Customizable Acrylic Vase with Your Favorite Books Titles, Bookshelf Decor ...",,,,,,,,no,https://www.amazon.com/Personalized-Acrylic-Book-Shaped-Flowers/dp/B0FFN82P4N/ref=sr_1_7?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-7,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0FX4B25GR,,13,13,13,display_order,13,Anatomy of Bookworm Girl,,,,,,,,no,https://www.amazon.com/Personalized-Acrylic-Book-Shaped-Flowers/dp/B0FX4B25GR/ref=cs_sr_dp_loc_2?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-7,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0FSDFJXR3,,14,14,14,display_order,14,Book Lover 01,,,,,,,,no,https://www.amazon.com/Personalized-Acrylic-Book-Shaped-Flowers/dp/B0FSDFJXR3/ref=cs_sr_dp_loc_3?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-7,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0FSDJ9SW7,,15,15,15,display_order,15,Book Lover 02,,,,,,,,no,https://www.amazon.com/Personalized-Acrylic-Book-Shaped-Flowers/dp/B0FSDJ9SW7/ref=cs_sr_dp_loc_4?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-7,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0FSDL7XG9,,16,16,16,display_order,16,Book Lover 03,,,,,,,,no,https://www.amazon.com/Personalized-Acrylic-Book-Shaped-Flowers/dp/B0FSDL7XG9/ref=cs_sr_dp_loc_5?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-7,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0FSDKZXNS,,17,17,17,display_order,17,Book Lover 05,,,,,,,,no,https://www.amazon.com/Personalized-Acrylic-Book-Shaped-Flowers/dp/B0FSDKZXNS/ref=cs_sr_dp_loc_6?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-7,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0CXP7B1BZ,https://m.media-amazon.com/images/I/811210k5X2L._AC_UY218_.jpg,18,18,18,display_order,18,Personalized Road sign for Couples with Name and Special Date on Print Canvas Wall Art Custom street sign Poster Best vale...,,,,,,,,no,https://www.amazon.com/Personalized-Couples-valentines-Christmas-Anniversary/dp/B0CXP7B1BZ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-8,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-15,2026-06-15T08:01:08+00:00,Competitor Store 1,seller,seller,Lim Nature (WP),1,B0FTLRD3MZ,https://m.media-amazon.com/images/I/61Xon7aK4-L._AC_UY218_.jpg,19,19,19,display_order,19,"Personalized Book Lover Mug – Custom Name Coffee Cup 11oz 15oz, Just a Girl Who Loves Books Design Gift for Women Readers,...",,,,,,,,no,https://www.amazon.com/Personalized-Book-Lover-Mug-Christmas/dp/B0FTLRD3MZ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.uZROBNs7WKca5_yNE-lMoYEIYvwe77s6K2-ju1nNIYwTAlKATFOo4SPXmeli0I6ca8SsvDXML6HaS_nP7rcC2ehARMgY0ehr6mghR-5OPj0qRsteRJBDkhXr4yiG-1BYBuMgxQMj8xawRh-_21aUT7c-qPyhSsnlScygSJLNk1VETgwrlTC4KTeq9Vt62xjPAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.-TcTeu8-eN8M0LQfVZUVU0PPsxk_hYS1fJR51H_Fz3c&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781510484&s=merchant-items&sr=1-9,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
